# Date Updated: 12/18/2015
# Source: http://svo2.cab.inta-csic.es/svo/theory/fps3/index.php?mode=browse&gname=WISE
# Wavelength(nm) Transmission(0-1)
15650.00 0.659690
15660.00 0.662690
15670.00 0.663110
15680.00 0.666110
15690.00 0.666540
15700.00 0.666960
15710.00 0.669970
15720.00 0.670400
15730.00 0.670830
15740.00 0.671250
15750.00 0.669090
15760.00 0.669510
15770.00 0.669940
15780.00 0.667760
15790.00 0.668190
15800.00 0.666010
15810.00 0.663830
15820.00 0.664250
15830.00 0.662060
15840.00 0.659870
15850.00 0.657680
15860.00 0.652870
15870.00 0.650670
15880.00 0.648460
15890.00 0.643640
15900.00 0.641420
15910.00 0.636590
15920.00 0.631750
15930.00 0.629520
15940.00 0.624670
15950.00 0.619810
15960.00 0.617570
15970.00 0.612690
15980.00 0.610450
15990.00 0.608200
16000.00 0.605940
16010.00 0.603680
16020.00 0.601420
16030.00 0.599160
16040.00 0.599530
16050.00 0.597260
16060.00 0.597640
16070.00 0.598010
16080.00 0.598380
16090.00 0.598750
16100.00 0.596470
16110.00 0.596840
16120.00 0.597210
16130.00 0.594930
16140.00 0.595300
16150.00 0.595670
16160.00 0.593370
16170.00 0.591080
16180.00 0.591440
16190.00 0.589140
16200.00 0.586840
16210.00 0.584530
16220.00 0.582220
16230.00 0.579910
16240.00 0.574920
16250.00 0.572600
16260.00 0.567600
16270.00 0.562590
16280.00 0.557570
16290.00 0.552550
16300.00 0.544840
16310.00 0.537110
16320.00 0.529650
16330.00 0.521910
16340.00 0.514160
16350.00 0.503700
16360.00 0.493240
16370.00 0.482750
16380.00 0.472260
16390.00 0.461750
16400.00 0.451230
16410.00 0.438000
16420.00 0.427450
16430.00 0.414190
16440.00 0.403610
16450.00 0.390310
16460.00 0.377000
16470.00 0.366380
16480.00 0.353030
16490.00 0.339670
16500.00 0.329010
16510.00 0.315620
16520.00 0.304930
16530.00 0.291500
16540.00 0.280790
16550.00 0.267770
16560.00 0.256180
16570.00 0.244870
16580.00 0.234070
16590.00 0.223010
16600.00 0.212760
16610.00 0.202800
16620.00 0.193070
16630.00 0.183600
16640.00 0.174420
16650.00 0.166030
16660.00 0.157620
16670.00 0.149480
16680.00 0.142130
16690.00 0.135070
16700.00 0.128250
16710.00 0.121970
16720.00 0.115710
16730.00 0.109970
16740.00 0.104800
16750.00 0.099344
16760.00 0.094712
16770.00 0.090350
16780.00 0.085983
16790.00 0.082164
16800.00 0.078368
16810.00 0.074789
16820.00 0.071510
16830.00 0.068227
16840.00 0.065494
16850.00 0.062731
16860.00 0.059992
16870.00 0.057528
16880.00 0.055033
16890.00 0.052840
16900.00 0.050896
16910.00 0.048699
16920.00 0.047028
16930.00 0.045104
16940.00 0.043457
16950.00 0.042088
16960.00 0.040437
16970.00 0.039064
16980.00 0.037689
16990.00 0.036592
17000.00 0.035494
17010.00 0.034394
17020.00 0.033293
17030.00 0.032191
17040.00 0.031340
17050.00 0.030264
17060.00 0.029411
17070.00 0.028585
17080.00 0.027676
17090.00 0.026809
17100.00 0.025960
17110.00 0.025085
17120.00 0.024189
17130.00 0.023309
17140.00 0.022406
17150.00 0.021450
17160.00 0.020516
17170.00 0.019522
17180.00 0.018498
17190.00 0.017467
17200.00 0.016440
17210.00 0.015382
17220.00 0.014324
17230.00 0.013260
17240.00 0.012223
17250.00 0.011154
17260.00 0.010137
17270.00 0.009117
17280.00 0.008092
17290.00 0.007103
17300.00 0.006196
17310.00 0.005264
17320.00 0.004429
17330.00 0.003567
17340.00 0.002788
17350.00 0.001886
17360.00 0.002002
17370.00 0.001265
17380.00 0.006594
17390.00 0.007070
17400.00 0.007123
17410.00 0.006722
17420.00 0.005820
17430.00 0.004563
17440.00 0.003041
17450.00 0.001257
17460.00 0.003266
17470.00 0.000674
17480.00 0.001851
17490.00 0.002535
17500.00 0.002910
17510.00 0.003935
17520.00 0.003831
17530.00 0.003169
17540.00 0.002659
17550.00 0.002223
17560.00 0.001826
17570.00 0.001455
17580.00 0.001052
17590.00 0.001215
17600.00 0.001100
17610.00 0.001003
17620.00 0.000920
17630.00 0.000852
17640.00 0.000769
17650.00 0.000635
17660.00 0.000595
17670.00 0.000544
17680.00 0.000493
17690.00 0.000444
17700.00 0.000398
17710.00 0.000347
17720.00 0.000324
17730.00 0.000302
17740.00 0.000284
17750.00 0.000268
17760.00 0.000253
17770.00 0.000237
17780.00 0.000224
17790.00 0.000212
17800.00 0.000201
17810.00 0.000192
17820.00 0.000183
17830.00 0.000175
17840.00 0.000168
17850.00 0.000162
17860.00 0.000156
17870.00 0.000151
17880.00 0.000145
17890.00 0.000142
17900.00 0.000140
17910.00 0.000137
17920.00 0.000135
17930.00 0.000133
17940.00 0.000130
17950.00 0.000128
17960.00 0.000144
17970.00 0.000149
17980.00 0.000150
17990.00 0.000149
18000.00 0.000149
18010.00 0.000147
18020.00 0.000146
18030.00 0.000143
